trade_date,CTA风险平价杠杆策略,等权1N组合,静态风险平价,杠杆倍数
2018-05-16,1.224669055999632,1.0894024642173237,1.1383066240378494,1.3941515722480562
2018-05-17,1.2203723907692106,1.086343381690145,1.1376386538280194,1.3931640523951818
2018-05-18,1.225652492007217,1.0959345875966455,1.1387344336354281,1.3880147942061647
2018-05-21,1.225642893744683,1.0973117374918966,1.139221024262111,1.3948714200568946
2018-05-22,1.2265106273352067,1.096111960743145,1.1396868828095819,1.400106799175208
2018-05-23,1.2227501788226676,1.0872112458991692,1.1392055835064647,1.402797962022954
2018-05-24,1.22410723527367,1.0833029051117569,1.1395349787393667,1.4077560928419823
2018-05-25,1.2275781136790047,1.084182483126933,1.140466318049053,1.4078314725211207
2018-05-28,1.224922813509688,1.082565449645344,1.1408483042173638,1.411882430072144
2018-05-29,1.2252992085305479,1.079652875580203,1.1407665901208277,1.4225613249103668
2018-05-30,1.2210469677369915,1.069470977843438,1.1399209703597704,1.4217650694892918
2018-05-31,1.2265757812954363,1.0770271666023974,1.1408365500705238,1.308419147550532
2018-06-01,1.2238753133794618,1.0747966923479713,1.1402839974126264,1.319457803110815
2018-06-04,1.2219996478553283,1.0751613709731254,1.1400007829350345,1.325173722000279
2018-06-05,1.2238137324016418,1.0792253928972466,1.1400434880482662,1.3321444539393439
2018-06-06,1.224911781901972,1.0806663395051108,1.1401149023390333,1.3374793860140526
2018-06-07,1.224293898642506,1.0808680925590328,1.1399362553793115,1.3438034559497278
2018-06-08,1.2197921640522995,1.0739688543844825,1.1393366674414498,1.3478360454597165
2018-06-11,1.2205156687183116,1.0728471307294347,1.1397582761204315,1.3569031539019953
2018-06-12,1.2227518562441084,1.0767645420755934,1.1400058614917965,1.3603368915092924
2018-06-13,1.2194903127647825,1.0718593337539435,1.1394427493174815,1.3621955453899188
2018-06-14,1.2232694645681248,1.075694011782781,1.1404264311579144,1.3649595033254294
2018-06-15,1.2223219931270384,1.071967568353963,1.140777766276999,1.381113784147265
2018-06-19,1.2051584923251206,1.0475112660159138,1.1385981559374494,1.2650040441923287
2018-06-20,1.2036347680055242,1.047043700130344,1.1384814813606778,1.2732865150360047
2018-06-21,1.1973493783442535,1.038641208834139,1.137586861403423,1.2675171809261083
2018-06-22,1.200449148563614,1.040548845640867,1.138557608393221,1.2683620886367346
2018-06-25,1.199686357393089,1.0383185965557489,1.1388703799214228,1.2754453456437522
2018-06-26,1.1950644042199523,1.0309482072101699,1.1381273469644861,1.275634954468367
2018-06-27,1.1922458011896262,1.0254474169521737,1.137745292280239,1.2796574404096572
2018-06-28,1.1870263708076265,1.0183404492999797,1.1375874991000459,1.2809134992319724
2018-06-29,1.1965203848861603,1.031312766269844,1.1408789169962028,1.2649208296447172
