trade_date,CTA风险平价杠杆策略,等权1N组合,静态风险平价,杠杆倍数
2015-01-05,1.0,1.0,1.0,0.6
2015-01-06,0.9980640078774903,0.9967733464624838,1.0006693927875903,0.6
2015-01-07,0.9992139518399847,0.9986874412878877,1.0010278559944132,0.6
2015-01-08,0.9904624736895931,0.9841093299878213,0.9995978858260203,0.6
2015-01-09,0.9890071771444372,0.9816993936432168,0.9998897488401651,0.6
2015-01-12,0.9824031269864548,0.9707739723629931,0.9996894010692121,0.6
2015-01-13,0.9832922540166514,0.9722383090752331,1.0009236479436303,0.6
2015-01-14,0.9799637360817133,0.9667531432364033,1.0010409478424327,0.6
2015-01-15,0.9892869301437351,0.9820823281041705,1.0041777738435151,0.6
2015-01-16,0.9962565331441589,0.9936137381397863,1.0077668504191482,0.6
2015-01-19,0.9700815095032064,0.9501044239880319,1.0050765601691254,0.6
2015-01-20,0.9733924519511586,0.9555090232176714,1.0059886546508592,0.6
2015-01-21,0.9903186345342478,0.9832010402014216,1.0106673929840493,0.6
2015-01-22,0.9925695967155296,0.9869256804012415,1.0113062809449938,0.6
2015-01-23,0.9924033214823038,0.9866501307937242,1.0119429648884788,0.6
2015-01-26,0.9967657422162605,0.9938786820869404,1.0135771625914674,0.6
2015-01-27,0.9925182827318899,0.9868200870467495,1.0123063511976564,0.6
2015-01-28,0.9892978024777477,0.9814834353866619,1.0111856085857858,0.6
2015-01-29,0.9845534323784858,0.9736386107509342,1.009646154576492,0.6
2015-01-30,0.9819603358743926,0.9642481503319428,1.0072965875235589,0.2730802492965043
2015-02-02,0.9788529766469002,0.9533033342953693,1.0068433398262528,0.2787904323638337
2015-02-03,0.981876671401729,0.9638482774932633,1.0082682405068917,0.2792591090214615
2015-02-04,0.9798206214364945,0.9568238340209154,1.0072194589674563,0.28732504039383544
2015-02-05,0.9778196047873661,0.9502107449164473,1.0082438806501464,0.2954824811614472
2015-02-06,0.9736828520320477,0.9366582035918748,1.0056907105752855,0.29661972048192425
2015-02-09,0.972772066660552,0.9337909953027692,1.004480864709513,0.30557683102668326
2015-02-10,0.9754510628237946,0.942191555324213,1.005520824861092,0.30612756909050065
2015-02-11,0.9759078156031068,0.9435974215347793,1.0054943518675736,0.31381299726048345
2015-02-12,0.9754712064949791,0.9422867198540544,1.005810359728512,0.3220823189093296
2015-02-13,0.9786224554217428,0.9517564229505883,1.008061135250656,0.32145113518784274
2015-02-16,0.9799902181968743,0.9558189486508539,1.0099176221046846,0.327435149292358
2015-02-17,0.9811785851590983,0.9592915415581785,1.010826141541194,0.33377253005060625
2015-02-25,0.9789744807056058,0.9529392641760407,1.0108067775481544,0.3392386078875879
2015-02-26,0.984432776876147,0.9691847637638493,1.0124716266345792,0.3270528034572172
2015-02-27,0.9849979906113321,0.970851064087751,1.0125879147255932,0.3339488415258832
2015-03-02,0.987901332190438,0.9793598884350324,1.0141100410712431,0.33631469338333503
2015-03-03,0.9838190132397903,0.9672607671070212,1.0116674179331593,0.334489002091408
2015-03-04,0.9845252740885859,0.9692980976184613,1.011436096252812,0.3408254399987361
2015-03-05,0.982118480943614,0.9624261363204292,1.0098518871014108,0.3448169068678213
