,总收益率,年化收益率,年化波动率,最大回撤,夏普比率,卡玛比率,胜率,盈亏比
CTA+风险平价+杠杆,0.922854121596431,0.06237492149032131,0.058714709230235584,-0.0754756949582397,0.7197684901334738,0.8264239438250024,0.5518001469507715,0.9747173434615174
等权1/N组合,1.0948165970210315,0.07082981083297413,0.1345441231914249,-0.31790763707990927,0.42778044173446333,0.22279996631590937,0.5290227773695811,0.9923518160786885
静态风险平价,0.7510066563772977,0.05321022326625591,0.01994363330894705,-0.03168677709060875,1.6078347095299614,1.6792564013089935,0.5984570168993387,1.0661676485986629
