trade_date,000300.SH_return,510880.SH_return,H11009.CSI_return,510410.SH_return,518880.SH_return
2015-01-05,,,,,
2015-01-06,-0.00013236154693851976,-0.0018208302986161273,0.0006500815730525744,-0.02352941176470591,0.00869925434962715
2015-01-07,0.0007500565082849686,-0.0036483035388544804,-4.080939511263981e-05,0.008433734939758963,0.004106776180698102
2015-01-08,-0.023198647562016506,-0.023068473086781283,0.0005121129860794493,-0.021505376344086002,-0.005725971370143079
2015-01-09,-0.003522081422003831,-0.0063718140929536204,0.00046382372330056043,-0.006105006105006083,0.0032908268202385127
2015-01-12,-0.009345810202826654,-0.020369671821953927,0.0006779866099286824,-0.03439803439803435,0.007790077900779124
2015-01-13,0.0001320591898397172,0.001155179052753308,0.0009660184923541149,0.0,0.005288852725793269
2015-01-14,-0.0033058815494416693,-0.003461538461538405,0.0009381688309983982,-0.020356234096692183,-0.0020234722784296943
2015-01-15,0.029036469895269645,0.029332304129679576,0.001755860027062628,0.020779220779220786,-0.0016220600162205612
2015-01-16,0.00860820155594122,0.009373828271466156,0.001441773184590156,0.01653944020356235,0.022745735174654502
2015-01-19,-0.07702331625744885,-0.09138187221396732,0.0013396639921332554,-0.07133917396745937,0.01945988880063565
2015-01-20,0.01223997102965435,-0.00817661488143906,0.0002990459910534593,0.022911051212938016,0.0011686793922864869
2015-01-21,0.04495083065830219,0.04163231657048638,0.0006605765684615239,0.03820816864295118,0.01945525291828809
2015-01-22,0.005277150428937505,0.00039572615749894346,0.0009889061171932667,0.024111675126903487,-0.011832061068702382
2015-01-23,0.0011545534787547052,-0.0011867088607595555,0.0003577658985887133,-0.008674101610904539,0.006952491309385911
2015-01-26,0.010149977657898157,0.012277227722772288,0.0009374153134185104,0.012499999999999956,0.0007671653241272391
2015-01-27,-0.009161346291628125,-0.007433489827856077,-0.0001386257566657889,-0.011111111111111072,-0.007665772326561959
2015-01-28,-0.013876631465054912,-0.007094994087504802,-0.0008051823279076054,-0.008739076154806513,0.0034762456546928444
2015-01-29,-0.012346386416223432,-0.009527590313616496,-0.0004918371322052417,-0.012594458438287215,-0.005003849114703529
2015-01-30,-0.013615953596389008,-0.007214428857715505,-0.0005546481601453879,-0.010204081632653073,-0.016634429400386952
2015-02-02,-0.02341900599524216,-0.02866370609608382,-7.238556071098579e-05,-0.021907216494845394,0.01730920535011804
2015-02-03,0.024891471573900814,0.014962593516209433,0.00018717261097322968,0.01449275362318847,0.0007733952049497894
2015-02-04,-0.010378929699238815,-0.007780507780507873,0.00033124004405227225,-0.007792207792207795,-0.010819165378670781
2015-02-05,-0.010236441756169223,-0.01527032604209655,0.0017149684611366123,-0.017015706806282727,0.006250000000000089
